teamPosition,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win
UTILITY,36,2,2,13,True
BOTTOM,17,3,1,8,False
BOTTOM,26,4,2,11,False
BOTTOM,21,4,4,6,False
BOTTOM,15,1,2,8,False
BOTTOM,32,4,1,12,True
BOTTOM,8,3,0,4,True
BOTTOM,20,2,1,8,False
TOP,15,0,0,10,True
JUNGLE,10,2,0,3,True
BOTTOM,19,3,0,9,True
UTILITY,55,4,6,21,True
JUNGLE,24,3,4,4,False
JUNGLE,29,4,9,4,True
JUNGLE,26,3,5,5,False
JUNGLE,25,4,2,5,True
JUNGLE,21,4,5,4,False
JUNGLE,33,3,3,4,True
JUNGLE,27,4,5,10,False
JUNGLE,36,9,5,16,False
JUNGLE,56,3,17,20,False
JUNGLE,41,3,6,11,False
JUNGLE,1,0,0,1,False
JUNGLE,31,1,7,9,True
JUNGLE,42,3,6,10,True
BOTTOM,24,3,3,7,True
BOTTOM,13,2,0,10,True
TOP,8,0,0,6,False
JUNGLE,19,2,2,8,False
TOP,11,0,0,7,False
JUNGLE,24,4,3,5,False
TOP,10,0,0,6,False
JUNGLE,21,2,3,3,False
JUNGLE,14,5,1,4,True
TOP,18,0,1,9,True
JUNGLE,33,7,3,10,True
TOP,18,0,3,7,False
JUNGLE,21,1,4,2,False
TOP,14,0,1,5,True
JUNGLE,21,2,2,7,True
TOP,10,0,1,5,True
JUNGLE,11,1,1,6,True
TOP,20,0,1,12,False
JUNGLE,30,5,4,7,False
TOP,6,0,0,5,False
JUNGLE,21,2,2,10,False
BOTTOM,8,0,1,4,True
BOTTOM,15,0,0,9,True
MIDDLE,19,0,0,11,False
BOTTOM,15,0,0,9,True
BOTTOM,26,0,0,17,True
MIDDLE,24,0,1,14,False
TOP,11,0,1,6,False
MIDDLE,7,0,0,5,True
MIDDLE,16,0,0,10,False
MIDDLE,18,0,0,11,True
MIDDLE,37,0,1,18,False
MIDDLE,25,0,1,13,False
MIDDLE,30,0,4,12,True
MIDDLE,11,0,0,7,True
MIDDLE,10,0,0,7,True
BOTTOM,2,0,0,2,False
MIDDLE,13,0,0,8,True
MIDDLE,26,0,0,17,False
BOTTOM,9,0,0,6,False
MIDDLE,25,0,0,16,True
MIDDLE,15,0,0,9,True
TOP,18,1,0,10,True
TOP,13,0,1,7,False
MIDDLE,9,0,1,5,False
TOP,11,0,0,8,True
TOP,20,0,4,9,True
TOP,34,1,7,14,True
MIDDLE,27,2,4,11,True
JUNGLE,14,0,0,8,False
TOP,19,0,1,10,True
BOTTOM,23,1,6,11,False
BOTTOM,28,1,0,12,True
MIDDLE,29,2,5,15,True
MIDDLE,27,0,3,13,True
MIDDLE,15,0,1,10,True
MIDDLE,12,0,1,8,True
MIDDLE,17,0,1,9,False
MIDDLE,31,4,5,13,True
TOP,17,2,0,6,True
MIDDLE,19,0,1,10,False
TOP,6,0,1,3,False
TOP,18,0,1,8,True
TOP,10,0,1,5,True
TOP,4,0,1,3,True
TOP,16,0,2,6,False
TOP,3,0,0,2,True
TOP,3,0,0,2,False
TOP,10,0,1,5,False
TOP,14,0,2,7,False
TOP,15,0,1,6,False
TOP,15,0,4,5,False
TOP,16,0,2,8,False
TOP,17,0,7,6,False
TOP,5,0,0,3,True
TOP,16,0,1,8,True
TOP,3,0,1,3,False
TOP,11,0,1,6,False
TOP,15,0,2,7,False
TOP,14,0,1,5,True
TOP,0,0,0,0,True
